Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Both,6,Both,4,O,47,S,Both6_Both4_O47_S,184,,195,
2024,Both,6,Both,4,O,47,T,Both6_Both4_O47_T,187,,196,
2024,Control,4,Both,4,W,44,S,Control4_Both4_W44_S,178,,197,
2024,Control,4,Both,4,W,44,T,Control4_Both4_W44_T,181,,198,
2024,Control,6,Both,4,W,48,S,Control6_Both4_W48_S,185,,199,
2024,Control,6,Both,4,W,48,T,Control6_Both4_W48_T,188,,200,
2024,Hypoxic,4,Both,4,B,43,S,Hypoxic4_Both4_B43_S,195,,201,
2024,Hypoxic,4,Both,4,B,43,T,Hypoxic4_Both4_B43_T,197,,202,
2024,Hypoxic,6,Both,4,B,48,S,Hypoxic6_Both4_B48_S,99,,203,
2024,Hypoxic,6,Both,4,B,48,T,Hypoxic6_Both4_B48_T,102,,204,
2024,Warm,1,Both,4,G,38,S,Warm1_Both4_G38_S,179,,205,
2024,Warm,1,Both,4,G,38,T,Warm1_Both4_G38_T,182,SC 3/28 Ended with this one today,206,
2024,Warm,2,Both,4,G,40,S,Warm2_Both4_G40_S,177,,207,
2024,Warm,2,Both,4,G,40,T,Warm2_Both4_G40_T,180,,208,
2024,Both,1,Control,4,O,37,S,Both1_Control4_O37_S,,,209,
2024,Both,1,Control,4,O,37,T,Both1_Control4_O37_T,,,210,
2024,Both,6,Control,4,O,48,S,Both6_Control4_O48_S,,,211,
2024,Both,6,Control,4,O,48,T,Both6_Control4_O48_T,,,212,
2024,Control,4,Control,4,W,43,S,Control4_Control4_W43_S,,,213,
2024,Control,4,Control,4,W,43,T,Control4_Control4_W43_T,,,214,
2024,Control,5,Control,4,W,46,S,Control5_Control4_W46_S,,,215,
2024,Control,5,Control,4,W,46,T,Control5_Control4_W46_T,,,216,
2024,Hypoxic,1,Control,4,B,38,S,Hypoxic1_Control4_B38_S,,,217,
2024,Hypoxic,1,Control,4,B,38,T,Hypoxic1_Control4_B38_T,,,218,
2024,Hypoxic,2,Control,4,B,40,S,Hypoxic2_Control4_B40_S,,,219,
2024,Hypoxic,2,Control,4,B,40,T,Hypoxic2_Control4_B40_T,,,220,
2024,Warm,1,Control,4,G,37,S,Warm1_Control4_G37_S,,,221,
2024,Warm,1,Control,4,G,37,T,Warm1_Control4_G37_T,,,222,
2024,Warm,6,Control,4,G,47,S,Warm6_Control4_G47_S,,,223,
2024,Warm,6,Control,4,G,47,T,Warm6_Control4_G47_T,,,224,
2024,Both,1,Hypoxic,4,O,37,S,Both1_Hypoxic4_O37_S,,,225,
