Sample_Name_Nutrients,Phase_2_treat,Phase_2_rep,Phase_2_rep_R,Tissue_type,Tag,Tag_color,Tag_num,Linear corr d15N,wt_percent_n,N_Notes,Linear corr d13C,wt_percent_c,C_Notes,N_Exclude,
Cont04 G39 S,Cont,04,Cont04,S,G39,G,39,15.9,0.2,,-6.8,15.1,,,
Cont04 B43 S,Cont,04,Cont04,S,B43,B,43,13.7,0.2,,-9.2,17.1,,,
Cont04 G43 S,Cont,04,Cont04,S,G43,G,43,12.9,0.2,small peak - error on δ15N will be higher,-8,16.5,,,
Cont04 B39 S,Cont,04,Cont04,S,B39,B,39,11.8,0.2,,-9.2,17.3,,,
Cont04 W47 S,Cont,04,Cont04,S,W47,W,47,12,0.1,small peak - error on δ15N will be higher,-10.1,18.4,,,
Cont05 W56 S,Cont,05,Cont05,S,W56,W,56,12.1,0.2,,-6.9,15.7,,,
Cont05 G59 S,Cont,05,Cont05,S,G59,G,59,9,0.2,,-8.4,17.1,,,
Cont05 O60 S,Cont,05,Cont05,S,O60,O,60,11.5,0.2,small peak - error on δ15N will be higher,-8.6,17.4,,,
Cont05 G53 S,Cont,05,Cont05,S,G53,G,53,11.5,0.2,small peak - error on δ15N will be higher,-5.8,14.9,,,
Cont05 W49 S,Cont,05,Cont05,S,W49,W,49,12.3,0.2,,-9.1,17.6,,,
Cont05 B51 S,Cont,05,Cont05,S,B51,B,51,11.3,0.1,small peak - error on δ15N will be higher,-5.8,15,,,
Cont05 O52 S,Cont,05,Cont05,S,O52,O,52,7.2,0.3,,-8.5,17.1,,,
Cont05 W58 S,Cont,05,Cont05,S,W58,W,58,15.6,0.2,small peak - error on δ15N will be higher,-9.9,18.2,,,
Cont05 B49 S,Cont,05,Cont05,S,B49,B,49,10.7,0.2,,-6.8,15.6,,,
Cont06 W61 S,Cont,06,Cont06,S,W61,W,61,13,0.1,small peak - error on δ15N will be higher,-7.3,16.2,,,
Cont06 W65 S,Cont,06,Cont06,S,W65,W,65,13.6,0.2,,-8.8,17.2,,,
Cont06 B69 S,Cont,06,Cont06,S,B69,B,69,13.2,0.1,small peak - error on δ15N will be higher,-9.6,18,,,
Cont06 G65 S,Cont,06,Cont06,S,G65,G,65,11.6,0.1,small peak - error on δ15N will be higher,-7.8,16.3,,,
Cont06 O61 S,Cont,06,Cont06,S,O61,O,61,11.7,0.1,small peak - error on δ15N will be higher,-11.9,20.4,,,
Cont06 G70 S,Cont,06,Cont06,S,G70,G,70,11.4,0.1,small peak - error on δ15N will be higher,-12.3,21,,,
Cont06 B71 S,Cont,06,Cont06,S,B71,B,71,9.4,0.2,,-9.2,17.5,,,
Cont06 O68 S,Cont,06,Cont06,S,O68,O,68,12,0.1,small peak - error on δ15N will be higher,-8.9,16.9,,,
Cont06 O62 S,Cont,06,Cont06,S,O62,O,62,12.1,0.1,small peak - error on δ15N will be higher,-8,16.4,,,
Cont06 O64 S,Cont,06,Cont06,S,O64,O,64,11.7,0.1,small peak - error on δ15N will be higher,-8.7,17,,,
Warm01 B11 S,Warm,01,Warm01,S,B11,B,11,16.1,0.1,small peak - error on δ15N will be higher,-8.3,16.3,,,
Warm01 G5 S,Warm,01,Warm01,S,G5,G,5,11.7,0.2,small peak - error on δ15N will be higher,-7.7,15.9,,,
Warm01 W4 S,Warm,01,Warm01,S,W4,W,4,12.2,0.1,small peak - error on δ15N will be higher,-9.2,17.3,,,
