Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_post,Dry_weight_post,double_single_dead,notes
151,6262024,2024,Warm,01,Null,NA,G,7,2024_Warm01_Null_G7,63,168.9,single?,
152,6262024,2024,Warm,01,Null,NA,G,8,2024_Warm01_Null_G8,127.4,418.8,triple,
153,6262024,2024,Warm,02,Null,NA,G,9,2024_Warm02_Null_G9,10.7,NA,dead,
154,6262024,2024,Warm,02,Null,NA,G,10,2024_Warm02_Null_G10,238.6,628.7,double,
155,6262024,2024,Warm,02,Null,NA,G,11,2024_Warm02_Null_G11,182.1,387.8,single,
156,6262024,2024,Warm,02,Null,NA,G,12,2024_Warm02_Null_G12,158.5,464.9,double,
157,6262024,2024,Warm,02,Null,NA,G,13,2024_Warm02_Null_G13,137.7,404.5,triple,
158,6262024,2024,Warm,02,Null,NA,G,14,2024_Warm02_Null_G14,206.9,578.9,double,
159,6262024,2024,Warm,02,Null,NA,G,15,2024_Warm02_Null_G15,173.8,431.8,single,
160,6262024,2024,Warm,02,Null,NA,G,16,2024_Warm02_Null_G16,175.1,522.1,double,
161,6262024,2024,Warm,03,Null,NA,G,17,2024_Warm03_Null_G17,58.4,171.1,single,
162,6262024,2024,Warm,03,Null,NA,G,18,2024_Warm03_Null_G18,124.4,319.1,double,
163,6262024,2024,Warm,03,Null,NA,G,19,2024_Warm03_Null_G19,95.9,276.9,double,
164,6262024,2024,Warm,03,Null,NA,G,20,2024_Warm03_Null_G20,243.2,612.6,double,
165,6262024,2024,Warm,03,Null,NA,G,21,2024_Warm03_Null_G21,119.3,311.9,single,
166,6262024,2024,Warm,03,Null,NA,G,22,2024_Warm03_Null_G22,152.7,420.5,double,
167,6262024,2024,Warm,03,Null,NA,G,23,2024_Warm03_Null_G23,202.2,596.8,double,
168,6262024,2024,Warm,03,Null,NA,G,24,2024_Warm03_Null_G24,270.8,751.6,double,
169,6262024,2024,Warm,04,Null,NA,G,25,2024_Warm04_Null_G25,66.1,172.7,double,
170,6262024,2024,Warm,04,Null,NA,G,26,2024_Warm04_Null_G26,105.1,292.8,double,
171,6262024,2024,Warm,04,Null,NA,G,27,2024_Warm04_Null_G27,136.7,367.4,single,
172,6262024,2024,Warm,04,Null,NA,G,28,2024_Warm04_Null_G28,185.8,462.7,double,
173,6262024,2024,Warm,04,Null,NA,G,29,2024_Warm04_Null_G29,87.9,194.7,single,
174,6262024,2024,Warm,04,Null,NA,G,30,2024_Warm04_Null_G30,125.6,333.2,double,
175,6262024,2024,Warm,04,Null,NA,G,31,2024_Warm04_Null_G31,82,212.3,double,
176,6262024,2024,Warm,04,Null,NA,G,32,2024_Warm04_Null_G32,98.3,257.2,double,
177,6262024,2024,Warm,05,Null,NA,G,33,2024_Warm05_Null_G33,40,114.2,single,
