Original_order,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,
1346,7/25/24,2024,Warm,02,Warm,05,G,51,2024_Warm02_Warm05_G51,222.1,576.1,,
1347,7/25/24,2024,Hyp,02,Warm,05,B,51,2024_Hyp02_Warm05_B51,212.5,586,,
119,7/25/24,2024,Both,01,Hyp,05,O,50,2024_Both01_Hyp05_O50,85.9,254.1,,
263,7/25/24,2024,Hyp,01,Both,05,B,50,2024_Hyp01_Both05_B50,99,319.5,,
264,7/25/24,2024,Warm,01,Both,05,G,50,2024_Warm01_Both05_G50,211.6,539.9,,
265,7/25/24,2024,Cont,01,Both,05,W,50,2024_Cont01_Both05_W50,257,604.8,,
266,7/25/24,2024,Both,01,Both,05,O,50,2024_Both01_Both05_O50,272.3,662.2,,
325,7/25/24,2024,Hyp,01,Hyp,05,B,50,2024_Hyp01_Hyp05_B50,148.1,382.6,,
559,7/25/24,2024,Hyp,01,Warm,05,B,50,2024_Hyp01_Warm05_B50,174.7,445.1,,
671,7/25/24,2024,Hyp,01,Cont,05,B,50,2024_Hyp01_Cont05_B50,107.1,280.8,,
672,7/25/24,2024,Both,01,Cont,05,O,50,2024_Both01_Cont05_O50,107.6,287.3,,
673,7/25/24,2024,Warm,01,Cont,05,G,50,2024_Warm01_Cont05_G50,453.3,1025,,
674,7/25/24,2024,Cont,01,Cont,05,W,50,2024_Cont01_Cont05_W50,513,1156,,
928,7/25/24,2024,Warm,01,Both,05,G,50,2024_Warm01_Both05_G50,211.6,539.9,,
1005,7/25/24,2024,Both,01,Hyp,05,O,50,2024_Both01_Hyp05_O50,85.9,254.1,,
1006,7/25/24,2024,Hyp,01,Hyp,05,B,50,2024_Hyp01_Hyp05_B50,148.1,382.6,,
1007,7/25/24,2024,Warm,01,Hyp,05,G,50,2024_Warm01_Hyp05_G50,219.9,580.7,,
1008,7/25/24,2024,Cont,01,Hyp,05,W,50,2024_Cont01_Hyp05_W50,546,1435.2,wet for dry weight,
1042,7/25/24,2024,Cont,01,Both,05,W,50,2024_Cont01_Both05_W50,257,604.8,,
1126,7/25/24,2024,Cont,01,Warm,05,W,50,2024_Cont01_Warm05_W50,257.4,641.8,,
1340,7/25/24,2024,Hyp,01,Warm,05,B,50,2024_Hyp01_Warm05_B50,174.7,445.1,,
1341,7/25/24,2024,Warm,01,Warm,05,G,50,2024_Warm01_Warm05_G50,213.6,588.4,,
1342,7/25/24,2024,Cont,01,Warm,05,W,50,2024_Cont01_Warm05_W50,257.4,641.8,,
